"","sibs","age","incom16","reg16","res16","pasei10","masei10","granborn","family16","age_num","sibs_num","pasei10_num","masei10_num"
"893","4",54,"average","middle atlantic","in open country but not on a farm","77","59.8","none","both own mother and father",54,4,77,59.8
"894","3",75,"below average","middle atlantic","in a small city or town (under 50,000)","31.6","13.2","none","both own mother and father",75,3,31.6,13.2
"898","13",75,"below average","south atlantic","in a medium-size city (50,000-250,000)","24.2","12.6","one","both own mother and father",75,13,24.2,12.6
"899","3",82,"above average","middle atlantic","in a large city (over 250,000)","50.4","iap","four","both own mother and father",82,3,50.4,NA
"902","4",27,"above average","south atlantic","in a small city or town (under 50,000)","28.7","iap","none","both own mother and father",27,4,28.7,NA
"903","7",57,"below average","south atlantic","in a large city (over 250,000)","53.6","38.3","none","both own mother and father",57,7,53.6,38.3
"904","1",33,"average","middle atlantic","in a small city or town (under 50,000)","43","61.5","none","both own mother and father",33,1,43,61.5
"905","4",59,"average","middle atlantic","in a medium-size city (50,000-250,000)","56.9","38.8","none","both own mother and father",59,4,56.9,38.8
"906","3",68,"average","middle atlantic","in a small city or town (under 50,000)","32","iap","iap","both own mother and father",68,3,32,NA
"909","4",76,"above average","middle atlantic","in open country but not on a farm","48.8","iap","two","both own mother and father",76,4,48.8,NA
"910","3",70,"below average","west south central","in a small city or town (under 50,000)","23.3","38.3","none","both own mother and father",70,3,23.3,38.3
"911","2",70,"average","west south central","in a small city or town (under 50,000)","39.9","iap","none","both own mother and father",70,2,39.9,NA
"912","9",42,"below average","west south central","in a small city or town (under 50,000)","27.2","31.6","two","both own mother and father",42,9,27.2,31.6
"916","4",49,"average","west south central","in a medium-size city (50,000-250,000)","31","iap","four","both own mother and father",49,4,31,NA
"917","0",75,"average","west south central","in a small city or town (under 50,000)","24.6","19.6","two","both own mother and father",75,0,24.6,19.6
"921","2",21,"average","west south central","in a large city (over 250,000)","46","38.3","none","both own mother and father",21,2,46,38.3
"922","2",44,"above average","west south central","in a small city or town (under 50,000)","48.8","38.2","none","both own mother and father",44,2,48.8,38.2
"926","1",38,"average","east north central","in a large city (over 250,000)","57.8","73.90000000000001","don't know","both own mother and father",38,1,57.8,73.9
"930","2",64,"above average","west south central","in a suburb near a large city","28.4","54.6","don't know","both own mother and father",64,2,28.4,54.6
"931","1",32,"don't know","foreign","in a small city or town (under 50,000)","69.3","84.5","four","both own mother and father",32,1,69.3,84.5
"933","9",51,"far below average","foreign","in a large city (over 250,000)","14","iap","none","both own mother and father",51,9,14,NA
"934","4",62,"average","middle atlantic","in a small city or town (under 50,000)","50.4","38.8","three","both own mother and father",62,4,50.4,38.8
"936","2",21,"below average","west south central","in a large city (over 250,000)","25.2","iap","four","both own mother and father",21,2,25.2,NA
"937","6",38,"below average","west south central","in a large city (over 250,000)","23.3","iap","four","both own mother and father",38,6,23.3,NA
"939","3",39,"below average","west south central","in a large city (over 250,000)","31.1","iap","four","both own mother and father",39,3,31.1,NA
"945","8",48,"average","foreign","in open country but not on a farm","39.9","iap","four","both own mother and father",48,8,39.9,NA
"946","10",36,"far below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",36,10,14,NA
"948","7",41,"far below average","foreign","in open country but not on a farm","42.2","iap","four","both own mother and father",41,7,42.2,NA
"951","1",38,"far below average","west south central","in open country but not on a farm","18.6","24.2","four","both own mother and father",38,1,18.6,24.2
"952","0",50,"average","foreign","in a large city (over 250,000)","69.3","20.8","four","both own mother and father",50,0,69.3,20.8
"954","2",42,"above average","foreign","in a medium-size city (50,000-250,000)","43","32.6","one","both own mother and father",42,2,43,32.6
"955","2",50,"average","new england","in a small city or town (under 50,000)","69.3","80.90000000000001","none","both own mother and father",50,2,69.3,80.9
"956","5",34,"below average","west south central","in a large city (over 250,000)","20.7","19.6","four","both own mother and father",34,5,20.7,19.6
"959","2",23,"far below average","west south central","in a small city or town (under 50,000)","76.3","38.3","three","both own mother and father",23,2,76.3,38.3
"960","2",34,"average","foreign","in a large city (over 250,000)","73.90000000000001","26.8","four","both own mother and father",34,2,73.9,26.8
"961","7",76,"above average","foreign","in a medium-size city (50,000-250,000)","21.6","iap","four","both own mother and father",76,7,21.6,NA
"962","1",36,"average","foreign","in a medium-size city (50,000-250,000)","67.7","92","four","both own mother and father",36,1,67.7,92
"964","1",81,"above average","east north central","in a suburb near a large city","66.09999999999999","84.2","none","both own mother and father",81,1,66.1,84.2
"965","1",57,"above average","west south central","in a large city (over 250,000)","85.2","80.90000000000001","one","both own mother and father",57,1,85.2,80.9
"968","3",49,"average","foreign","in a large city (over 250,000)","83.8","23.8","four","both own mother and father",49,3,83.8,23.8
"969","2",50,"average","foreign","in a suburb near a large city","67.7","35.8","four","both own mother and father",50,2,67.7,35.8
"972","3",62,"below average","foreign","in a small city or town (under 50,000)","50.4","iap","four","both own mother and father",62,3,50.4,NA
"977","5",32,"above average","south atlantic","in a large city (over 250,000)","27","19.6","none","both own mother and father",32,5,27,19.6
"978","2",32,"average","south atlantic","in a medium-size city (50,000-250,000)","25.2","iap","none","both own mother and father",32,2,25.2,NA
"979","3",41,"average","south atlantic","in a medium-size city (50,000-250,000)","52.5","80.90000000000001","none","both own mother and father",41,3,52.5,80.9
"982","6",64,"far below average","foreign","in a medium-size city (50,000-250,000)","36.7","iap","don't know","both own mother and father",64,6,36.7,NA
"983","4",20,"average","south atlantic","in a small city or town (under 50,000)","23.3","14","four","both own mother and father",20,4,23.3,14
"984","1",82,"below average","south atlantic","in a medium-size city (50,000-250,000)","39.9","12.6","none","both own mother and father",82,1,39.9,12.6
"987","0",40,"average","south atlantic","in a suburb near a large city","46.5","38.8","iap","both own mother and father",40,0,46.5,38.8
"990","4",84,"average","south atlantic","in a large city (over 250,000)","23.3","12.6","none","both own mother and father",84,4,23.3,12.6
"991","3",79,"average","south atlantic","in a large city (over 250,000)","46","52.5","iap","both own mother and father",79,3,46,52.5
"993","5",70,"above average","south atlantic","in a suburb near a large city","iap","12.6","don't know","both own mother and father",70,5,NA,12.6
"996","3",23,"below average","south atlantic","in a suburb near a large city","25.2","12.6","four","both own mother and father",23,3,25.2,12.6
"997","5",77,"above average","foreign","in a medium-size city (50,000-250,000)","67.7","iap","don't know","both own mother and father",77,5,67.7,NA
"998","3",60,"average","south atlantic","in a medium-size city (50,000-250,000)","50.4","38.8","none","both own mother and father",60,3,50.4,38.8
"999","4",62,"average","west south central","in a small city or town (under 50,000)","28.4","13.3","none","both own mother and father",62,4,28.4,13.3
"1001","1",20,"average","south atlantic","in a suburb near a large city","87.59999999999999","iap","four","both own mother and father",20,1,87.6,NA
"1002","2",47,"average","south atlantic","in a suburb near a large city","26.8","35.8","none","both own mother and father",47,2,26.8,35.8
"1008","3",44,"below average","south atlantic","in a small city or town (under 50,000)","iap","19.7","none","both own mother and father",44,3,NA,19.7
"1009","3",35,"above average","south atlantic","in a large city (over 250,000)","26.8","31.6","four","both own mother and father",35,3,26.8,31.6
"1011","3",69,"average","south atlantic","in a large city (over 250,000)","32","13.2","none","both own mother and father",69,3,32,13.2
"1012","2",22,"below average","south atlantic","in a small city or town (under 50,000)","28.7","41.1","two","both own mother and father",22,2,28.7,41.1
"1013","1",36,"average","south atlantic","in a suburb near a large city","69.3","46.6","none","both own mother and father",36,1,69.3,46.6
"1018","2",76,"average","south atlantic","in a large city (over 250,000)","61.4","iap","none","both own mother and father",76,2,61.4,NA
"1023","0",39,"average","south atlantic","in a medium-size city (50,000-250,000)","60.3","60.3","none","both own mother and father",39,0,60.3,60.3
"1024","3",53,"above average","south atlantic","in a large city (over 250,000)","23.3","26.1","none","both own mother and father",53,3,23.3,26.1
"1026","14",70,"far below average","south atlantic","farm","39.9","39.9","iap","both own mother and father",70,14,39.9,39.9
"1027","4",74,"below average","south atlantic","in a medium-size city (50,000-250,000)","28.7","13.2","none","both own mother and father",74,4,28.7,13.2
"1028","3",23,"average","south atlantic","in a large city (over 250,000)","23.3","77.40000000000001","none","both own mother and father",23,3,23.3,77.4
"1030","2",60,"far below average","south atlantic","in a small city or town (under 50,000)","28.7","iap","iap","both own mother and father",60,2,28.7,NA
"1031","9",60,"above average","south atlantic","in open country but not on a farm","57.5","19.6","none","both own mother and father",60,9,57.5,19.6
"1032","1",58,"average","foreign","in a large city (over 250,000)","57.5","38.8","four","both own mother and father",58,1,57.5,38.8
"1033","3",32,"average","foreign","in a large city (over 250,000)","iap","iap","four","both own mother and father",32,3,NA,NA
"1034","4",76,"below average","mountain","in a medium-size city (50,000-250,000)","57.8","19.6","none","both own mother and father",76,4,57.8,19.6
"1036","3",31,"average","south atlantic","in a suburb near a large city","69.3","77.40000000000001","none","both own mother and father",31,3,69.3,77.4
"1037","0",45,"average","south atlantic","in a small city or town (under 50,000)","35.3","84.2","iap","both own mother and father",45,0,35.3,84.2
"1038","1",18,"far below average","south atlantic","in a large city (over 250,000)","81.59999999999999","84","four","both own mother and father",18,1,81.6,84
"1042","6",87,"below average","foreign","in a small city or town (under 50,000)","18.6","iap","iap","both own mother and father",87,6,18.6,NA
"1043","3",25,"average","south atlantic","in a large city (over 250,000)","57.3","39.7","none","both own mother and father",25,3,57.3,39.7
"1045","2",23,"average","south atlantic","in a medium-size city (50,000-250,000)","18.6","12.6","none","both own mother and father",23,2,18.6,12.6
"1046","6",55,"above average","foreign","in a medium-size city (50,000-250,000)","77.40000000000001","35.8","none","both own mother and father",55,6,77.4,35.8
"1047","2",35,"average","south atlantic","in a suburb near a large city","19.7","57.8","four","both own mother and father",35,2,19.7,57.8
"1049","8",71,"average","foreign","in open country but not on a farm","32.8","59.8","four","both own mother and father",71,8,32.8,59.8
"1051","3",59,"above average","foreign","in open country but not on a farm","41","26.5","four","both own mother and father",59,3,41,26.5
"1052","4",25,"below average","foreign","in a small city or town (under 50,000)","41","13.6","four","both own mother and father",25,4,41,13.6
"1054","4",83,"below average","foreign","in a large city (over 250,000)","32","iap","four","both own mother and father",83,4,32,NA
"1055","1",29,"below average","south atlantic","in a large city (over 250,000)","20.7","12.6","four","both own mother and father",29,1,20.7,12.6
"1056","3",47,"below average","south atlantic","in a suburb near a large city","18.8","37.6","four","both own mother and father",47,3,18.8,37.6
"1057","2",21,"below average","south atlantic","in a medium-size city (50,000-250,000)","iap","80.90000000000001","none","both own mother and father",21,2,NA,80.9
"1058","0",47,"far below average","south atlantic","in a large city (over 250,000)","28.5","26.5","four","both own mother and father",47,0,28.5,26.5
"1064","1",32,"average","south atlantic","in a large city (over 250,000)","32","iap","four","both own mother and father",32,1,32,NA
"1066","2",37,"average","west south central","in a suburb near a large city","57.8","79.3","none","both own mother and father",37,2,57.8,79.3
"1069","1",62,"average","middle atlantic","in a large city (over 250,000)","34.6","39.7","four","both own mother and father",62,1,34.6,39.7
"1071","3",61,"average","west north central","in a small city or town (under 50,000)","80.90000000000001","80.90000000000001","none","both own mother and father",61,3,80.9,80.9
"1072","1",43,"average","foreign","in a small city or town (under 50,000)","92.8","31.9","four","both own mother and father",43,1,92.8,31.9
"1073","1",46,"above average","foreign","in a large city (over 250,000)","44.6","iap","three","both own mother and father",46,1,44.6,NA
"1074","0",82,"above average","west south central","in a small city or town (under 50,000)","46.5","80.90000000000001","none","both own mother and father",82,0,46.5,80.9
"1075","1",56,"average","east north central","in a medium-size city (50,000-250,000)","71.8","80.90000000000001","none","both own mother and father",56,1,71.8,80.9
"1076","3",20,"below average","south atlantic","in a small city or town (under 50,000)","20.7","13.6","don't know","both own mother and father",20,3,20.7,13.6
"1077","3",34,"below average","foreign","in a large city (over 250,000)","28.7","iap","four","both own mother and father",34,3,28.7,NA
"1078","8",30,"far below average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",30,8,14,NA
"1082","4",25,"average","foreign","in a large city (over 250,000)","57.5","38.8","four","both own mother and father",25,4,57.5,38.8
"1083","2",35,"average","south atlantic","in a large city (over 250,000)","45.4","iap","four","both own mother and father",35,2,45.4,NA
"1085","2",44,"average","middle atlantic","in a large city (over 250,000)","43","31.6","none","both own mother and father",44,2,43,31.6
"1086","1",44,"far below average","foreign","in open country but not on a farm","31.2","iap","four","both own mother and father",44,1,31.2,NA
"1087","1",36,"far below average","south atlantic","in a large city (over 250,000)","28.5","20.8","none","both own mother and father",36,1,28.5,20.8
"1088","12",46,"far below average","foreign","in a small city or town (under 50,000)","39.9","iap","four","both own mother and father",46,12,39.9,NA
"1089","6",34,"average","foreign","in a small city or town (under 50,000)","28.7","80.90000000000001","three","both own mother and father",34,6,28.7,80.9
"1092","6",74,"below average","east north central","in a large city (over 250,000)","25","iap","none","both own mother and father",74,6,25,NA
"1093","1",53,"below average","foreign","in a small city or town (under 50,000)","19.7","iap","four","both own mother and father",53,1,19.7,NA
"1094","1",72,"above average","foreign","in a medium-size city (50,000-250,000)","81.5","53.9","four","both own mother and father",72,1,81.5,53.9
"1095","3",44,"below average","foreign","in a large city (over 250,000)","69.3","82.5","four","both own mother and father",44,3,69.3,82.5
"1096","4",48,"below average","foreign","in a medium-size city (50,000-250,000)","69.40000000000001","iap","four","both own mother and father",48,4,69.4,NA
"1097","1",21,"far above average","east north central","in a suburb near a large city","89.09999999999999","69.3","none","both own mother and father",21,1,89.1,69.3
"1098","2",44,"below average","east north central","in a suburb near a large city","32","23.3","none","both own mother and father",44,2,32,23.3
"1099","2",55,"average","east north central","in a small city or town (under 50,000)","89.90000000000001","iap","one","both own mother and father",55,2,89.9,NA
"1100","3",50,"average","foreign","in a medium-size city (50,000-250,000)","12.7","iap","four","both own mother and father",50,3,12.7,NA
"1101","0",47,"average","foreign","in a suburb near a large city","61.9","iap","four","both own mother and father",47,0,61.9,NA
"1102","1",26,"average","mountain","in a small city or town (under 50,000)","59.8","84.2","none","both own mother and father",26,1,59.8,84.2
"1103","5",54,"average","mountain","in a suburb near a large city","92","38.8","none","both own mother and father",54,5,92,38.8
"1104","0",36,"above average","east north central","in a medium-size city (50,000-250,000)","83.8","83.8","none","both own mother and father",36,0,83.8,83.8
"1108","1",32,"average","east north central","in a suburb near a large city","iap","iap","none","both own mother and father",32,1,NA,NA
"1112","1",64,"average","east north central","in a large city (over 250,000)","62.6","80.90000000000001","none","both own mother and father",64,1,62.6,80.9
"1114","8",23,"average","east north central","in a large city (over 250,000)","20.9","24.2","none","both own mother and father",23,8,20.9,24.2
"1116","4",26,"average","east north central","in a suburb near a large city","23.3","iap","none","both own mother and father",26,4,23.3,NA
"1117","2",67,"average","east north central","in a small city or town (under 50,000)","25","37.2","two","both own mother and father",67,2,25,37.2
"1119","1",42,"average","east north central","in a medium-size city (50,000-250,000)","32","38.8","none","both own mother and father",42,1,32,38.8
"1120","5",60,"average","east north central","in a suburb near a large city","77.40000000000001","32.6","none","both own mother and father",60,5,77.4,32.6
"1121","3",66,"above average","east north central","in a suburb near a large city","39.2","35.8","none","both own mother and father",66,3,39.2,35.8
"1122","8",51,"average","foreign","in a large city (over 250,000)","69.40000000000001","80.90000000000001","four","both own mother and father",51,8,69.4,80.9
"1123","1",39,"above average","east north central","in a suburb near a large city","91.09999999999999","65.3","two","both own mother and father",39,1,91.1,65.3
"1124","4",80,"average","east north central","in a suburb near a large city","48.3","iap","four","both own mother and father",80,4,48.3,NA
"1125","4",75,"below average","east north central","in a large city (over 250,000)","50.7","iap","four","both own mother and father",75,4,50.7,NA
"1126","3",85,"above average","east north central","in a small city or town (under 50,000)","39.9","80.90000000000001","two","both own mother and father",85,3,39.9,80.9
"1128","4",70,"below average","east north central","in a suburb near a large city","57.8","21.6","two","both own mother and father",70,4,57.8,21.6
"1129","1",32,"above average","pacific","in a suburb near a large city","86.5","30","don't know","both own mother and father",32,1,86.5,30
"1130","5",72,"average","east north central","in a large city (over 250,000)","41","13.6","two","both own mother and father",72,5,41,13.6
"1131","3",41,"above average","east north central","in a suburb near a large city","25","20.7","none","both own mother and father",41,3,25,20.7
"1132","2",72,"average","east north central","in a suburb near a large city","45.4","iap","four","both own mother and father",72,2,45.4,NA
"1134","2",43,"above average","east north central","in a suburb near a large city","92.8","iap","none","both own mother and father",43,2,92.8,NA
"1136","2",69,"average","east north central","in a large city (over 250,000)","24.6","26.8","four","both own mother and father",69,2,24.6,26.8
"1137","2",30,"below average","pacific","in a medium-size city (50,000-250,000)","81","38.8","none","both own mother and father",30,2,81,38.8
"1138","1",60,"average","east north central","in a large city (over 250,000)","23.3","iap","four","both own mother and father",60,1,23.3,NA
"1141","4",61,"far below average","east north central","in a small city or town (under 50,000)","32","32","none","both own mother and father",61,4,32,32
"1142","17",18,"average","east north central","in a suburb near a large city","32.6","20.1","none","both own mother and father",18,17,32.6,20.1
"1144","1",78,"above average","east north central","in a large city (over 250,000)","67.7","80.90000000000001","none","both own mother and father",78,1,67.7,80.9
"1148","12",22,"below average","east north central","in a large city (over 250,000)","59.1","56.9","none","both own mother and father",22,12,59.1,56.9
"1152","4",50,"below average","east north central","in a large city (over 250,000)","25","39.7","none","both own mother and father",50,4,25,39.7
"1153","2",75,"average","east north central","in a large city (over 250,000)","32","25","one","both own mother and father",75,2,32,25
"1155","1",25,"below average","new england","in a large city (over 250,000)","25.2","76.3","none","both own mother and father",25,1,25.2,76.3
"1156","5",65,"average","east north central","in a small city or town (under 50,000)","28.3","iap","one","both own mother and father",65,5,28.3,NA
"1158","2",64,"below average","east north central","in a medium-size city (50,000-250,000)","65.3","26.9","none","both own mother and father",64,2,65.3,26.9
"1159","2",68,"average","east north central","in a medium-size city (50,000-250,000)","39.9","iap","none","both own mother and father",68,2,39.9,NA
"1165","1",51,"average","east north central","in a small city or town (under 50,000)","62.9","35.8","four","both own mother and father",51,1,62.9,35.8
"1168","2",63,"above average","east north central","in a small city or town (under 50,000)","36.4","iap","none","both own mother and father",63,2,36.4,NA
"1169","1",52,"far below average","east north central","in a small city or town (under 50,000)","31.2","38.8","four","both own mother and father",52,1,31.2,38.8
"1171","9",76,"average","mountain","farm","20","12.6","don't know","both own mother and father",76,9,20,12.6
"1173","2",41,"average","west south central","in a medium-size city (50,000-250,000)","32","80.90000000000001","none","both own mother and father",41,2,32,80.9
"1178","4",59,"below average","pacific","in a small city or town (under 50,000)","iap","iap","one","both own mother and father",59,4,NA,NA
"1179","0",55,"below average","south atlantic","in a small city or town (under 50,000)","iap","38.3","one","both own mother and father",55,0,NA,38.3
"1180","2",55,"above average","pacific","in a small city or town (under 50,000)","43","23.8","none","both own mother and father",55,2,43,23.8
"1181","1",71,"above average","pacific","in a small city or town (under 50,000)","59.1","76.7","one","both own mother and father",71,1,59.1,76.7
"1183","2",82,"above average","east north central","in a medium-size city (50,000-250,000)","68.59999999999999","80.90000000000001","none","both own mother and father",82,2,68.6,80.9
"1185","3",58,"average","west south central","in a suburb near a large city","57.8","iap","one","both own mother and father",58,3,57.8,NA
"1187","1",55,"average","pacific","in a medium-size city (50,000-250,000)","46","76.7","one","both own mother and father",55,1,46,76.7
"1189","no answer",47,"average","mountain","in a suburb near a large city","20.5","iap","iap","both own mother and father",47,NA,20.5,NA
"1192","5",89,"below average","east north central","in a small city or town (under 50,000)","28.7","iap","none","both own mother and father",NA,5,28.7,NA
"1194","2",74,"average","east north central","in a medium-size city (50,000-250,000)","28.7","51.7","don't know","both own mother and father",74,2,28.7,51.7
"1196","1",37,"far above average","south atlantic","in a medium-size city (50,000-250,000)","92.8","iap","two","both own mother and father",37,1,92.8,NA
"1197","2",39,"below average","foreign","in a medium-size city (50,000-250,000)","69.3","50.7","four","both own mother and father",39,2,69.3,50.7
"1198","1",33,"average","mountain","in a small city or town (under 50,000)","60.3","39.2","none","both own mother and father",33,1,60.3,39.2
"1199","0",44,"above average","foreign","in a large city (over 250,000)","86.5","iap","don't know","both own mother and father",44,0,86.5,NA
"1200","1",21,"above average","pacific","in a medium-size city (50,000-250,000)","87.90000000000001","86.09999999999999","four","both own mother and father",21,1,87.9,86.1
"1201","3",22,"average","pacific","in a suburb near a large city","87.90000000000001","80.90000000000001","none","both own mother and father",22,3,87.9,80.9
"1206","1",55,"above average","pacific","in a suburb near a large city","24.6","25","four","both own mother and father",55,1,24.6,25
"1207","10",59,"average","skipped on web","in a medium-size city (50,000-250,000)","39.9","80.90000000000001","four","both own mother and father",59,10,39.9,80.9
"1209","2",37,"above average","pacific","in a suburb near a large city","65.3","84.2","none","both own mother and father",37,2,65.3,84.2
"1211","4",79,"far below average","foreign","in a medium-size city (50,000-250,000)","75.5","iap","four","both own mother and father",79,4,75.5,NA
"1212","5",73,"below average","south atlantic","farm","32","12.6","none","both own mother and father",73,5,32,12.6
"1214","1",80,"below average","mountain","in a small city or town (under 50,000)","31.2","13.6","one","both own mother and father",80,1,31.2,13.6
"1215","2",47,"average","pacific","in a medium-size city (50,000-250,000)","89.3","23.3","one","both own mother and father",47,2,89.3,23.3
"1216","1",54,"above average","pacific","in a small city or town (under 50,000)","50.4","60.3","none","both own mother and father",54,1,50.4,60.3
"1218","4",58,"above average","skipped on web","in a suburb near a large city","85.2","20.8","none","both own mother and father",58,4,85.2,20.8
"1219","2",67,"average","pacific","in a medium-size city (50,000-250,000)","26.8","69.3","iap","both own mother and father",67,2,26.8,69.3
"1221","2",78,"average","pacific","in a large city (over 250,000)","30.8","iap","two","both own mother and father",78,2,30.8,NA
"1222","0",35,"average","pacific","in a suburb near a large city","58.4","19.6","none","both own mother and father",35,0,58.4,19.6
"1223","1",69,"average","pacific","in open country but not on a farm","77.40000000000001","iap","three","both own mother and father",69,1,77.4,NA
"1225","3",63,"above average","south atlantic","in a suburb near a large city","92.8","84.5","one","both own mother and father",63,3,92.8,84.5
"1227","2",58,"average","pacific","in a suburb near a large city","62","46.6","none","both own mother and father",58,2,62,46.6
"1228","1",28,"above average","pacific","in a medium-size city (50,000-250,000)","49.6","iap","none","both own mother and father",28,1,49.6,NA
"1230","2",75,"far above average","foreign","in a large city (over 250,000)","67.7","82.5","none","both own mother and father",75,2,67.7,82.5
"1231","2",49,"average","west north central","in a large city (over 250,000)","91.09999999999999","83.40000000000001","two","both own mother and father",49,2,91.1,83.4
"1232","2",42,"average","pacific","in a large city (over 250,000)","28.7","iap","none","both own mother and father",42,2,28.7,NA
"1233","1",46,"above average","west north central","in a small city or town (under 50,000)","39.2","92.8","none","both own mother and father",46,1,39.2,92.8
"1235","2",33,"far below average","pacific","in a medium-size city (50,000-250,000)","20.9","14.8","don't know","both own mother and father",33,2,20.9,14.8
"1236","5",39,"below average","pacific","in a small city or town (under 50,000)","18.6","iap","four","both own mother and father",39,5,18.6,NA
"1240","3",56,"average","foreign","in a small city or town (under 50,000)","76.3","39.7","two","both own mother and father",56,3,76.3,39.7
"1241","1",60,"average","pacific","in open country but not on a farm","52.3","iap","iap","both own mother and father",60,1,52.3,NA
"1242","4",52,"average","mountain","in a small city or town (under 50,000)","28.4","iap","four","both own mother and father",52,4,28.4,NA
"1244","2",39,"far below average","mountain","farm","25.2","iap","two","both own mother and father",39,2,25.2,NA
"1245","5",84,"below average","west north central","in open country but not on a farm","39.9","iap","one","both own mother and father",84,5,39.9,NA
"1246","6",40,"average","east north central","in a suburb near a large city","28.7","46.6","none","both own mother and father",40,6,28.7,46.6
"1248","5",71,"average","pacific","in a medium-size city (50,000-250,000)","62","39.7","none","both own mother and father",71,5,62,39.7
"1249","1",53,"average","mountain","in a suburb near a large city","57.4","80.90000000000001","none","both own mother and father",53,1,57.4,80.9
"1250","1",41,"average","pacific","in a large city (over 250,000)","21.5","38.8","two","both own mother and father",41,1,21.5,38.8
"1252","1",38,"average","mountain","in a suburb near a large city","43","26.1","none","both own mother and father",38,1,43,26.1
"1253","1",43,"average","pacific","in a suburb near a large city","59.1","76.3","none","both own mother and father",43,1,59.1,76.3
"1254","12",58,"below average","pacific","in a large city (over 250,000)","32","23.8","four","both own mother and father",58,12,32,23.8
"1255","2",35,"above average","mountain","in a suburb near a large city","26.8","26.8","don't know","both own mother and father",35,2,26.8,26.8
"1256","3",38,"far below average","west north central","in a small city or town (under 50,000)","50.4","33.4","none","both own mother and father",38,3,50.4,33.4
"1262","3",66,"average","west north central","in a medium-size city (50,000-250,000)","50.4","28.6","iap","both own mother and father",66,3,50.4,28.6
"1263","1",36,"average","mountain","in a medium-size city (50,000-250,000)","50.4","80.90000000000001","none","both own mother and father",36,1,50.4,80.9
"1266","2",71,"below average","foreign","in a large city (over 250,000)","50.4","13.2","four","both own mother and father",71,2,50.4,13.2
"1267","8",40,"average","mountain","in a suburb near a large city","61.4","77.2","none","both own mother and father",40,8,61.4,77.2
"1268","8",43,"average","pacific","in a large city (over 250,000)","28.4","24.2","none","both own mother and father",43,8,28.4,24.2
"1271","3",35,"average","foreign","in a small city or town (under 50,000)","25","iap","four","both own mother and father",35,3,25,NA
"1272","8",33,"average","east north central","in a large city (over 250,000)","59.1","84.2","none","both own mother and father",33,8,59.1,84.2
"1275","5",34,"average","west north central","in a medium-size city (50,000-250,000)","iap","23.3","four","both own mother and father",34,5,NA,23.3
"1276","1",52,"average","pacific","in a small city or town (under 50,000)","43.5","31.6","none","both own mother and father",52,1,43.5,31.6
"1277","6",55,"average","mountain","in a small city or town (under 50,000)","28.7","76.3","three","both own mother and father",55,6,28.7,76.3
"1282","8",64,"above average","foreign","in open country but not on a farm","14","iap","four","both own mother and father",64,8,14,NA
"1287","1",54,"below average","west south central","in a medium-size city (50,000-250,000)","39.9","41.1","four","both own mother and father",54,1,39.9,41.1
"1288","1",23,"average","south atlantic","in a medium-size city (50,000-250,000)","50.4","84.2","none","both own mother and father",23,1,50.4,84.2
"1290","3",26,"above average","mountain","in a suburb near a large city","87.90000000000001","37.6","none","both own mother and father",26,3,87.9,37.6
"1291","1",42,"below average","pacific","in open country but not on a farm","20","46.6","four","both own mother and father",42,1,20,46.6
"1292","3",73,"below average","mountain","in a small city or town (under 50,000)","27.7","43","none","both own mother and father",73,3,27.7,43
"1293","5",35,"far below average","mountain","in open country but not on a farm","39.9","iap","none","both own mother and father",35,5,39.9,NA
"1294","1",32,"far above average","middle atlantic","in a small city or town (under 50,000)","87.90000000000001","86.09999999999999","four","both own mother and father",32,1,87.9,86.1
"1296","7",21,"average","mountain","farm","39.9","39.9","none","both own mother and father",21,7,39.9,39.9
"1297","3",60,"average","mountain","in a small city or town (under 50,000)","32","12.6","one","both own mother and father",60,3,32,12.6
"1303","4",54,"average","skipped on web","farm","iap","iap","two","both own mother and father",54,4,NA,NA
"1304","6",57,"average","west north central","in a large city (over 250,000)","28.4","38.8","none","both own mother and father",57,6,28.4,38.8
"1305","1",36,"average","west north central","in a suburb near a large city","65.3","60.5","none","both own mother and father",36,1,65.3,60.5
"1308","3",41,"above average","west north central","in a large city (over 250,000)","91.09999999999999","80.90000000000001","one","both own mother and father",41,3,91.1,80.9
"1310","3",72,"far below average","east south atlantic","in a medium-size city (50,000-250,000)","23.3","12.6","none","both own mother and father",72,3,23.3,12.6
"1311","6",27,"below average","east north central","in a small city or town (under 50,000)","57.5","73.90000000000001","none","both own mother and father",27,6,57.5,73.9
"1312","2",33,"average","west north central","in a medium-size city (50,000-250,000)","67.7","iap","none","both own mother and father",33,2,67.7,NA
"1313","3",33,"above average","west north central","in a suburb near a large city","83.8","87.3","two","both own mother and father",33,3,83.8,87.3
"1314","1",23,"above average","west north central","in a large city (over 250,000)","75.59999999999999","37.8","none","both own mother and father",23,1,75.6,37.8
"1315","8",74,"average","west north central","in a medium-size city (50,000-250,000)","25.2","22.9","none","both own mother and father",74,8,25.2,22.9
"1316","1",20,"below average","west north central","in open country but not on a farm","83.8","38.8","none","both own mother and father",20,1,83.8,38.8
"1317","4",66,"above average","west north central","in open country but not on a farm","77.40000000000001","iap","none","both own mother and father",66,4,77.4,NA
"1318","8",42,"above average","west north central","in a suburb near a large city","45.4","37.6","two","both own mother and father",42,8,45.4,37.6
